timestamp,percent,status,plugged_in,seconds_left,power_watts,kb_count,mouse_count,net_sent_mb,net_recv_mb
2026-05-22 16:15:54,66,discharging,False,15485,0,0,0,0,0
2026-05-22 16:16:54,65,discharging,False,11862,0,0,0,0,0
2026-05-22 16:17:54,65,discharging,False,10292,0,0,0,0,0
2026-05-22 16:18:54,64,discharging,False,15166,0,0,0,0,0
2026-05-22 16:19:54,64,discharging,False,8154,0,0,0,0,0
2026-05-22 16:20:54,64,discharging,False,7431,0,0,0,0,0
2026-05-22 16:21:54,63,discharging,False,14185,0,0,0,0,0
2026-05-22 16:22:54,63,discharging,False,6641,0,0,0,0,0
2026-05-22 16:23:54,63,discharging,False,13233,0,0,0,0,0
2026-05-22 16:24:54,62,discharging,False,11740,0,0,0,0,0
2026-05-22 16:25:54,61,discharging,False,6110,0,0,0,0,0
2026-05-22 16:26:54,61,discharging,False,12582,0,0,0,0,0
2026-05-22 16:27:54,61,discharging,False,14841,0,0,0,0,0
2026-05-22 16:28:54,60,discharging,False,4698,0,0,0,0,0
2026-05-22 16:29:54,60,discharging,False,7545,0,0,0,0,0
2026-05-22 16:30:26,60,discharging,False,13533,0,0,0,0,0
2026-05-22 16:30:54,60,discharging,False,12893,0,0,0,0,0
2026-05-22 16:31:26,59,discharging,False,12599,0,0,0,0,0
2026-05-22 16:31:54,59,discharging,False,12599,0,0,0,0,0
2026-05-22 16:32:26,59,discharging,False,12610,0,0,0,0,0
2026-05-22 16:32:55,59,discharging,False,9781,0,0,0,0,0
2026-05-22 16:33:55,59,discharging,False,9089,0,0,0,0,0
2026-05-22 16:34:09,59,discharging,False,7992,0,0,0,0,0
2026-05-22 16:34:55,58,discharging,False,8147,0,,,0,0
2026-05-22 16:35:09,58,discharging,False,12903,0,47,1972,0,0
2026-05-22 16:35:55,58,discharging,False,12705,0,,,0,0
2026-05-22 16:36:09,58,discharging,False,12133,0,11,2052,0,0
2026-05-22 16:36:55,58,discharging,False,7038,0,,,0,0
2026-05-22 16:37:07,58,discharging,False,9754,0,0,0,0,0
2026-05-22 16:37:55,57,discharging,False,4597,0,,,0,0
2026-05-22 16:38:07,57,discharging,False,11367,0,11,2336,0,0
2026-05-22 16:38:55,57,discharging,False,10093,0,,,0,0
2026-05-22 16:39:07,57,discharging,False,12015,0,68,1870,0,0
2026-05-22 16:39:55,56,discharging,False,11166,0,,,0,0
2026-05-22 16:40:07,56,discharging,False,10413,0,97,2008,0,0
2026-05-22 16:40:55,56,discharging,False,13951,0,,,0,0
2026-05-22 16:41:07,56,discharging,False,12526,0,110,1584,0,0
